,mncoef,mncoef_bin,fracODC
486,0.3761773967859915,"(0.373, 0.407]",0.16778523489932887
487,0.2874319417692352,"(0.269, 0.303]",0.17218543046357615
488,0.33318796334426803,"(0.303, 0.338]",0.16265060240963855
489,0.39312908990779805,"(0.373, 0.407]",0.1696969696969697
490,0.3599112898849289,"(0.338, 0.373]",0.15
491,0.38371109480857213,"(0.373, 0.407]",0.1411042944785276
492,0.3858140314024027,"(0.373, 0.407]",0.11688311688311688
493,0.32540842358761085,"(0.303, 0.338]",0.12582781456953643
494,0.2929670679417871,"(0.269, 0.303]",0.15441176470588236
495,0.30594378675414596,"(0.303, 0.338]",0.15625
496,0.2028390334962471,"(0.2, 0.234]",0.16393442622950818
497,0.3615022450190195,"(0.338, 0.373]",0.15
498,0.46368309124339685,"(0.442, 0.476]",0.10483870967741936
499,0.29935363035596985,"(0.269, 0.303]",0.09615384615384616
500,0.24582470772278703,"(0.234, 0.269]",0.10982658959537572
501,0.3347623638952894,"(0.303, 0.338]",0.12777777777777777
502,0.46450596879735884,"(0.442, 0.476]",0.13043478260869565
503,0.381770991466408,"(0.373, 0.407]",0.11560693641618497
504,0.3796251375484813,"(0.373, 0.407]",0.14754098360655737
505,0.41254870270256133,"(0.407, 0.442]",0.15300546448087432
506,0.35748715955528476,"(0.338, 0.373]",0.15730337078651685
507,0.42877920485664617,"(0.407, 0.442]",0.20218579234972678
508,0.4563972399210016,"(0.442, 0.476]",0.1893491124260355
509,0.41365675337129276,"(0.407, 0.442]",0.22413793103448276
510,0.4585726203083786,"(0.442, 0.476]",0.23809523809523808
511,0.4246375822152137,"(0.407, 0.442]",0.21951219512195122
512,0.4192559472505188,"(0.407, 0.442]",0.2682926829268293
513,0.39283961840162257,"(0.373, 0.407]",0.21768707482993196
514,0.40090879319775324,"(0.373, 0.407]",0.2206896551724138
515,0.3964577369176247,"(0.373, 0.407]",0.2014388489208633
516,0.3905311931524304,"(0.373, 0.407]",0.17391304347826086
517,0.361114070346664,"(0.338, 0.373]",0.16774193548387098
518,0.35538961240176253,"(0.338, 0.373]",0.15476190476190477
519,0.37475042307918127,"(0.373, 0.407]",0.15757575757575756
520,0.2937731743014402,"(0.269, 0.303]",0.12738853503184713
521,0.36569265858253874,"(0.338, 0.373]",0.13580246913580246
522,0.3813223528452092,"(0.373, 0.407]",0.14285714285714285
528,0.3219085217400286,"(0.303, 0.338]",0.1038961038961039
530,-0.08342705675035132,"(-0.111, -0.0765]",0.15151515151515152
531,0.3202491241558642,"(0.303, 0.338]",0.17543859649122806
532,0.35210368975947437,"(0.338, 0.373]",0.18518518518518517
533,0.3820299122096574,"(0.373, 0.407]",0.13392857142857142
534,0.253356140621422,"(0.234, 0.269]",0.11926605504587157
535,0.3252302815677625,"(0.303, 0.338]",0.10204081632653061
536,0.3740034366138224,"(0.373, 0.407]",0.09375
537,0.42360361626760407,"(0.407, 0.442]",0.10526315789473684
538,0.40075110733544905,"(0.373, 0.407]",0.11290322580645161
539,0.4009325900236514,"(0.373, 0.407]",0.1016949152542373
540,0.42701565890454557,"(0.407, 0.442]",0.13368983957219252
541,0.34812114350245,"(0.338, 0.373]",0.13829787234042554
542,0.37541817617603945,"(0.373, 0.407]",0.12568306010928962
543,0.3998633874160114,"(0.373, 0.407]",0.13186813186813187
544,0.39019181257941693,"(0.373, 0.407]",0.09770114942528736
545,0.2063624418172529,"(0.2, 0.234]",0.1286549707602339
546,0.35779495337287215,"(0.338, 0.373]",0.15337423312883436
