perplexity,method
0.14659563,vima
0.12028942,vima
0.15990554,vima
0.16635,vima
0.2670947,vima
0.23290008,vima
0.19027893,vima
0.1807159,vima
0.16643818,vima
0.24306118,vima
0.30570984,vima
0.12053262,vima
0.22678757,vima
0.26654217,vima
0.3330515,vima
0.16972286,vima
0.14911254,vima
0.106027104,vima
0.26546118,vima
0.16097516,vima
0.19772406,vima
0.26548657,vima
0.2808666,vima
0.12433692,vima
0.18141583,vima
0.1593696,vima
0.11089904,vima
0.17587407,vima
0.34630504,vima
0.35571545,vima
0.2194335,vima
0.22407086,vima
0.18350297,vima
0.20353283,vima
0.1485334,vima
0.36182672,vima
0.35383573,vima
0.30623424,vima
0.2195253,vima
0.38347578,vima
0.30962902,vima
0.14193538,vima
0.13763696,vima
0.2336359,vima
0.19536218,vima
0.19163154,vima
0.3151892,vima
0.19187199,vima
0.27687627,vima
0.20816426,vima
0.38935688,vima
0.13086885,vima
0.18545908,vima
0.2473822,vima
0.28438076,vima
0.18530436,vima
0.17583153,vima
0.17237471,vima
0.17514165,vima
0.146996,vima
0.15587093,vima
0.26033124,vima
0.23878787,vima
0.17090273,vima
0.26800865,vima
0.22527772,vima
0.2307729,vima
0.18596365,vima
0.2774593,vima
0.23165195,vima
0.2723427,vima
0.3470558,vima
0.40823105,vima
0.3023762,vima
0.36590803,vima
0.26133966,vima
0.17275284,vima
0.16736822,vima
0.2732496,vima
0.12345638,vima
0.098536946,vima
0.07722058,vima
0.0898822,vima
0.060722686,vima
0.07687849,vima
0.08153983,vima
0.06456303,vima
0.05665067,vima
0.06858769,vima
0.06320108,vima
0.07405511,vima
0.08209403,vima
0.07352594,vima
0.07513749,vima
0.06881011,vima
0.07740043,vima
0.096875794,vima
0.07704099,vima
0.07895293,vima
0.077349454,vima
0.07155443,vima
0.068518214,vima
0.07143359,vima
0.123310566,vima
0.0793672,vima
0.06938831,vima
0.07934541,vima
0.08117706,vima
0.07804585,vima
0.090128474,vima
0.11570828,vima
0.080111325,vima
0.070001446,vima
0.06915235,vima
0.089065626,vima
0.10448259,vima
0.15374276,vima
0.0875342,vima
0.10138952,vima
0.2855424,vima
0.17368978,vima
0.13472304,vima
0.21570921,vima
0.1877599,vima
0.17317565,vima
0.106688954,vima
0.10572763,vima
0.09907634,vima
0.16537163,vima
0.12844802,vima
0.26260006,vima
0.20268999,vima
0.14410533,vima
0.14846756,vima
0.15831004,vima
0.18347113,vima
0.1630823,vima
0.19484045,vima
0.16844063,vima
0.15853585,vima
0.19286333,vima
0.21565782,vima
0.15550372,vima
0.16293457,vima
0.11263066,vima
